"temperature_2m_max","temperature_2m_min","temperature_2m_mean","apparent_temperature_max","apparent_temperature_min","apparent_temperature_mean","sunrise","sunset","shortwave_radiation_sum","precipitation_sum","rain_sum","snowfall_sum","precipitation_hours","windspeed_10m_max","windgusts_10m_max","winddirection_10m_dominant","et0_fao_evapotranspiration","latitude","longitude","elevation","country","city"
"29.4","23.3","26","31.4","26.4","28.5","2010-01-01T00:54","2010-01-01T12:34","18.9","0","0","0","0","21","44.3","46","4.28","8","79.80002","0","Sri Lanka","Puttalam"
"28.9","23.7","26","31.6","26.8","28.8","2010-01-02T00:54","2010-01-02T12:34","17.4","0.1","0.1","0","1","19.4","41","40","3.9","8","79.80002","0","Sri Lanka","Puttalam"
"28.6","23.3","25.5","31.9","26","28.3","2010-01-03T00:55","2010-01-03T12:35","17.38","0.3","0.3","0","2","16.4","33.8","41","3.79","8","79.80002","0","Sri Lanka","Puttalam"
"28.2","22","24.9","31.5","24.3","27.2","2010-01-04T00:55","2010-01-04T12:35","20.6","0","0","0","0","16","37.1","23","4.37","8","79.80002","0","Sri Lanka","Puttalam"
"27.6","21.6","24.5","30.7","24","26.6","2010-01-05T00:55","2010-01-05T12:36","23.23","0","0","0","0","14.3","31.7","21","4.78","8","79.80002","0","Sri Lanka","Puttalam"
"28.4","22.6","25.2","29.5","24.7","27","2010-01-06T00:56","2010-01-06T12:36","20.04","0","0","0","0","18.5","39.2","36","4.47","8","79.80002","0","Sri Lanka","Puttalam"
"28.5","22.7","25.6","31.4","25.5","28.2","2010-01-07T00:56","2010-01-07T12:37","17.41","0.1","0.1","0","1","13.4","32","28","3.96","8","79.80002","0","Sri Lanka","Puttalam"
"26.7","23.3","24.9","30.1","27.2","29","2010-01-08T00:56","2010-01-08T12:37","11.2","6.7","6.7","0","15","16.3","33.1","13","2.2","8","79.80002","0","Sri Lanka","Puttalam"
"29.1","23.3","25.7","36.2","27.9","31.4","2010-01-09T00:57","2010-01-09T12:38","17.92","6","6","0","8","5.8","22.3","123","3.55","8","79.80002","0","Sri Lanka","Puttalam"
"28.8","23.1","25.9","34.8","27.9","31.2","2010-01-10T00:57","2010-01-10T12:38","18.65","1.5","1.5","0","7","8.3","20.5","277","3.65","8","79.80002","0","Sri Lanka","Puttalam"
"29.4","23.7","26.2","36.8","28.6","31.8","2010-01-11T00:57","2010-01-11T12:39","20.54","0.9","0.9","0","5","6.1","15.8","19","4.07","8","79.80002","0","Sri Lanka","Puttalam"
"29.2","23.8","26.2","35.7","28.9","31.5","2010-01-12T00:58","2010-01-12T12:39","19.64","1.9","1.9","0","7","7.6","18.7","47","3.89","8","79.80002","0","Sri Lanka","Puttalam"
"29.8","24.3","26.4","36.6","28.9","31.5","2010-01-13T00:58","2010-01-13T12:40","19.11","1.6","1.6","0","6","9.3","26.3","48","3.75","8","79.80002","0","Sri Lanka","Puttalam"
"30.1","24","26.5","35.2","27.8","30.4","2010-01-14T00:58","2010-01-14T12:40","19.71","0.3","0.3","0","1","15.9","35.3","56","4.16","8","79.80002","0","Sri Lanka","Puttalam"
"29.6","23.9","26.1","32.9","26.3","28.7","2010-01-15T00:58","2010-01-15T12:41","22.78","0","0","0","0","18.7","40.3","47","4.98","8","79.80002","0","Sri Lanka","Puttalam"
"29","23.9","25.9","33.3","26.4","29","2010-01-16T00:59","2010-01-16T12:41","18.73","0.5","0.5","0","2","21.3","45.7","47","3.9","8","79.80002","0","Sri Lanka","Puttalam"
"28.9","24.2","26.1","31.8","27.4","28.8","2010-01-17T00:59","2010-01-17T12:41","16.03","0.2","0.2","0","1","20.9","43.2","39","3.76","8","79.80002","0","Sri Lanka","Puttalam"
"28.1","24","25.6","31.3","26.9","28.6","2010-01-18T00:59","2010-01-18T12:42","15.07","0.9","0.9","0","5","17.6","37.8","45","3.32","8","79.80002","0","Sri Lanka","Puttalam"
"29.8","23.1","26.1","32.6","25.7","28.6","2010-01-19T00:59","2010-01-19T12:42","20.61","0","0","0","0","19.2","38.5","47","4.63","8","79.80002","0","Sri Lanka","Puttalam"
"29.2","22.8","25.7","31.5","25.1","27.9","2010-01-20T00:59","2010-01-20T12:43","20.89","0","0","0","0","18.1","39.2","45","4.66","8","79.80002","0","Sri Lanka","Puttalam"
"28.8","22.1","25.2","30.8","24.1","27.1","2010-01-21T01:00","2010-01-21T12:43","21.2","0","0","0","0","18.7","40.7","42","4.64","8","79.80002","0","Sri Lanka","Puttalam"
"28.5","21.7","24.7","30.8","22.8","26.3","2010-01-22T01:00","2010-01-22T12:44","23.82","0","0","0","0","17.2","38.5","31","5.16","8","79.80002","0","Sri Lanka","Puttalam"
"28.8","21.5","24.9","31","22.7","26.6","2010-01-23T01:00","2010-01-23T12:44","23.64","0","0","0","0","16.6","38.9","39","5.13","8","79.80002","0","Sri Lanka","Puttalam"
"29.1","22","25.3","31.4","24.3","27.8","2010-01-24T01:00","2010-01-24T12:45","20.7","0","0","0","0","13.8","34.6","38","4.41","8","79.80002","0","Sri Lanka","Puttalam"
"29.3","22.1","25.5","33.1","24.8","28.6","2010-01-25T01:00","2010-01-25T12:45","20.5","0","0","0","0","14.5","31","42","4.25","8","79.80002","0","Sri Lanka","Puttalam"
"30.4","22.8","26.2","34","26","29.2","2010-01-26T01:00","2010-01-26T12:45","21.05","0","0","0","0","15.9","37.8","47","4.61","8","79.80002","0","Sri Lanka","Puttalam"
"29.2","23.7","26.1","32.8","26.9","29.3","2010-01-27T01:00","2010-01-27T12:46","17.56","1.1","1.1","0","6","18.4","40.3","48","3.82","8","79.80002","0","Sri Lanka","Puttalam"
"29.9","24","26.6","33","27.3","29.3","2010-01-28T01:00","2010-01-28T12:46","20.05","0.1","0.1","0","1","21.4","44.6","49","4.56","8","79.80002","0","Sri Lanka","Puttalam"
"30.3","24.1","26.8","33","26.8","28.8","2010-01-29T01:00","2010-01-29T12:46","20.14","0","0","0","0","20.9","47.2","43","5","8","79.80002","0","Sri Lanka","Puttalam"
"29.4","23.9","26.3","30.8","26.1","28.3","2010-01-30T01:00","2010-01-30T12:47","14.7","1.6","1.6","0","5","17.9","43.6","46","3.98","8","79.80002","0","Sri Lanka","Puttalam"
"29.4","23.9","26.5","31.4","26.1","28.7","2010-01-31T01:00","2010-01-31T12:47","16.23","0","0","0","0","21.6","43.9","42","4.14","8","79.80002","0","Sri Lanka","Puttalam"
"30.3","23.9","26.6","33.6","26.3","29.3","2010-02-01T01:00","2010-02-01T12:47","19.73","0","0","0","0","16.8","38.2","45","4.68","8","79.80002","0","Sri Lanka","Puttalam"
"30.1","23.4","26.3","31.9","25.8","28.2","2010-02-02T01:00","2010-02-02T12:48","18.51","0.6","0.6","0","5","20","40.7","42","4.61","8","79.80002","0","Sri Lanka","Puttalam"
"30","22.8","26","31.3","24.8","27.6","2010-02-03T01:00","2010-02-03T12:48","20.44","0","0","0","0","19.6","42.5","42","4.96","8","79.80002","0","Sri Lanka","Puttalam"
"30.5","22.7","26.1","33.2","24.7","28","2010-02-04T01:00","2010-02-04T12:48","23.45","0","0","0","0","18.6","39.6","44","5.48","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","22.8","26.3","33.5","24.7","28.1","2010-02-05T01:00","2010-02-05T12:48","23.72","0","0","0","0","17.3","39.6","40","5.66","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","23.3","26.4","32.6","24.7","27.6","2010-02-06T01:00","2010-02-06T12:49","22.26","0","0","0","0","22.3","47.2","50","5.69","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","23.3","26.4","31.7","24.6","27.5","2010-02-07T01:00","2010-02-07T12:49","22.34","0","0","0","0","23.4","50.8","49","5.77","8","79.80002","0","Sri Lanka","Puttalam"
"30.5","23","26.2","32.5","24.4","27.7","2010-02-08T00:59","2010-02-08T12:49","24.57","0","0","0","0","20.2","42.8","46","5.83","8","79.80002","0","Sri Lanka","Puttalam"
"30.2","22.7","26.4","31.8","24.4","28.6","2010-02-09T00:59","2010-02-09T12:49","16.25","0.7","0.7","0","3","16.1","37.4","58","4.21","8","79.80002","0","Sri Lanka","Puttalam"
"29.5","24.4","26.9","35.3","27.6","30.4","2010-02-10T00:59","2010-02-10T12:50","18.08","0.2","0.2","0","2","16.1","33.5","33","4.25","8","79.80002","0","Sri Lanka","Puttalam"
"29.8","24.4","26.9","33","27.5","30.1","2010-02-11T00:59","2010-02-11T12:50","12.7","0","0","0","0","14.5","33.8","41","3.33","8","79.80002","0","Sri Lanka","Puttalam"
"28.9","24.1","26.4","31.6","27.3","29.5","2010-02-12T00:59","2010-02-12T12:50","8.2","0.3","0.3","0","1","16.2","34.2","44","2.55","8","79.80002","0","Sri Lanka","Puttalam"
"31","24.2","27.3","35.8","27.4","31","2010-02-13T00:59","2010-02-13T12:50","21.16","0.1","0.1","0","1","16.1","35.3","42","4.69","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","23.4","26.7","35.9","26.3","30.4","2010-02-14T00:58","2010-02-14T12:50","24.46","0","0","0","0","12.7","29.9","48","5.26","8","79.80002","0","Sri Lanka","Puttalam"
"31.8","23.2","27.2","36.1","26.3","30","2010-02-15T00:58","2010-02-15T12:50","25.26","0","0","0","0","17.1","34.6","59","5.92","8","79.80002","0","Sri Lanka","Puttalam"
"30.5","23.6","27.1","33.9","26.6","30.4","2010-02-16T00:58","2010-02-16T12:51","17.78","2.2","2.2","0","10","15.1","34.6","58","4.29","8","79.80002","0","Sri Lanka","Puttalam"
"31.4","24.9","27.6","36.5","28","31.3","2010-02-17T00:58","2010-02-17T12:51","18.95","1.6","1.6","0","5","16.9","35.6","54","4.44","8","79.80002","0","Sri Lanka","Puttalam"
"31.7","24.3","27.2","38.2","27.9","31.6","2010-02-18T00:57","2010-02-18T12:51","23.83","0","0","0","0","13.4","27.7","29","5.05","8","79.80002","0","Sri Lanka","Puttalam"
"31.8","24","27.4","37.6","27.5","31.6","2010-02-19T00:57","2010-02-19T12:51","23.14","0","0","0","0","13.9","26.6","37","5.11","8","79.80002","0","Sri Lanka","Puttalam"
"32.3","23.6","27.5","38.3","27.4","32","2010-02-20T00:57","2010-02-20T12:51","22.8","0","0","0","0","9.6","25.9","35","4.89","8","79.80002","0","Sri Lanka","Puttalam"
"33.3","24.3","28.1","37.7","27","31.5","2010-02-21T00:56","2010-02-21T12:51","25.54","0","0","0","0","15.6","33.5","58","5.98","8","79.80002","0","Sri Lanka","Puttalam"
"34","24","28.7","37.8","27","31.7","2010-02-22T00:56","2010-02-22T12:51","25.89","0","0","0","0","17.8","42.1","64","6.37","8","79.80002","0","Sri Lanka","Puttalam"
"32.8","23.8","27.8","36.9","27.8","32","2010-02-23T00:56","2010-02-23T12:51","23.88","0","0","0","0","10","30.6","56","5.18","8","79.80002","0","Sri Lanka","Puttalam"
"32.1","23.2","27.6","38","27.5","32.4","2010-02-24T00:55","2010-02-24T12:51","22.81","0","0","0","0","10.5","25.2","248","4.89","8","79.80002","0","Sri Lanka","Puttalam"
"31","25.2","27.8","37","30.7","33.1","2010-02-25T00:55","2010-02-25T12:51","22.42","0.1","0.1","0","1","11.7","26.6","264","4.75","8","79.80002","0","Sri Lanka","Puttalam"
"32.5","24.5","28.1","38","27.9","32.8","2010-02-26T00:55","2010-02-26T12:52","23.87","0","0","0","0","12.3","29.2","358","5.22","8","79.80002","0","Sri Lanka","Puttalam"
"33.7","23.8","28.5","37.3","27.2","31.4","2010-02-27T00:54","2010-02-27T12:52","26.38","0","0","0","0","15.3","37.1","61","6.41","8","79.80002","0","Sri Lanka","Puttalam"
"33.4","24","27.7","38.9","27.7","32.5","2010-02-28T00:54","2010-02-28T12:52","26.06","0","0","0","0","11.2","34.9","358","5.51","8","79.80002","0","Sri Lanka","Puttalam"
"33.2","23.3","27.8","36.4","25.7","30.7","2010-03-01T00:53","2010-03-01T12:52","26.23","0","0","0","0","13","32.4","53","6.14","8","79.80002","0","Sri Lanka","Puttalam"
"32.8","22.8","27.5","36.4","25.6","30.4","2010-03-02T00:53","2010-03-02T12:52","26.73","0","0","0","0","12.8","32","25","5.94","8","79.80002","0","Sri Lanka","Puttalam"
"32.2","23.1","27.2","36.5","26.1","30.5","2010-03-03T00:53","2010-03-03T12:52","26.97","0","0","0","0","11.2","28.1","312","5.84","8","79.80002","0","Sri Lanka","Puttalam"
"31.3","24.3","27.6","35.8","28.1","31.2","2010-03-04T00:52","2010-03-04T12:52","23.55","0","0","0","0","14.3","34.6","237","5.26","8","79.80002","0","Sri Lanka","Puttalam"
"31.6","24.4","27.5","36.5","28.7","31.4","2010-03-05T00:52","2010-03-05T12:52","24.83","0.1","0.1","0","1","17.6","39.2","223","5.48","8","79.80002","0","Sri Lanka","Puttalam"
"32.1","24.4","28.2","35.8","28.6","31.8","2010-03-06T00:51","2010-03-06T12:52","24","0","0","0","0","18","38.9","216","5.65","8","79.80002","0","Sri Lanka","Puttalam"
"32.7","26.6","29.2","39.2","31.6","34.5","2010-03-07T00:51","2010-03-07T12:52","22.62","0","0","0","0","11.6","33.1","234","5.1","8","79.80002","0","Sri Lanka","Puttalam"
"33.7","26.5","29.3","40.6","32.5","35.4","2010-03-08T00:50","2010-03-08T12:52","22.81","0.8","0.8","0","4","9.8","24.5","246","4.97","8","79.80002","0","Sri Lanka","Puttalam"
"32.6","25.4","28.6","39.4","28.9","34.3","2010-03-09T00:50","2010-03-09T12:52","23.68","0.3","0.3","0","2","10.9","29.5","356","5.14","8","79.80002","0","Sri Lanka","Puttalam"
"34.8","25.1","29.6","37.9","28.9","32.4","2010-03-10T00:50","2010-03-10T12:52","25.99","0","0","0","0","16.8","41.4","65","6.81","8","79.80002","0","Sri Lanka","Puttalam"
"34.9","26.2","30.1","38.2","29.4","32.5","2010-03-11T00:49","2010-03-11T12:52","25.13","0","0","0","0","19.4","45.4","70","7.11","8","79.80002","0","Sri Lanka","Puttalam"
"34.3","26.2","29.9","38.3","29.6","32.9","2010-03-12T00:49","2010-03-12T12:52","22.1","0","0","0","0","20.2","45.4","72","6.06","8","79.80002","0","Sri Lanka","Puttalam"
"33.8","25.9","29","38","30","33.2","2010-03-13T00:48","2010-03-13T12:51","21.65","2.1","2.1","0","5","18.1","40.7","60","5.31","8","79.80002","0","Sri Lanka","Puttalam"
"34.3","25.4","29.5","38.8","30.5","34.3","2010-03-14T00:48","2010-03-14T12:51","23.97","0","0","0","0","9.3","28.8","56","5.45","8","79.80002","0","Sri Lanka","Puttalam"
"34.3","25","29","40.6","30.2","34.5","2010-03-15T00:47","2010-03-15T12:51","25.71","0","0","0","0","13","28.8","231","5.61","8","79.80002","0","Sri Lanka","Puttalam"
"32.7","25.2","28.7","39.2","29.7","34.4","2010-03-16T00:47","2010-03-16T12:51","23.96","0.2","0.2","0","1","10.4","28.1","291","5.19","8","79.80002","0","Sri Lanka","Puttalam"
"34.4","24.7","29.5","38","28.8","32.5","2010-03-17T00:46","2010-03-17T12:51","25.81","0","0","0","0","18.5","37.1","60","6.68","8","79.80002","0","Sri Lanka","Puttalam"
"32.3","25.6","29.1","35.9","29.2","32","2010-03-18T00:46","2010-03-18T12:51","20.46","0.8","0.8","0","4","17.4","39.2","59","5.56","8","79.80002","0","Sri Lanka","Puttalam"
"34.8","25.9","30","38.5","30.2","33.4","2010-03-19T00:45","2010-03-19T12:51","23.95","0","0","0","0","16.1","40.7","62","6.29","8","79.80002","0","Sri Lanka","Puttalam"
"34.3","25.7","29.7","38.2","30.6","34","2010-03-20T00:44","2010-03-20T12:51","24.12","0","0","0","0","14","37.4","51","5.77","8","79.80002","0","Sri Lanka","Puttalam"
"34.3","25.6","29.5","40.6","30.9","34.5","2010-03-21T00:44","2010-03-21T12:51","25.16","0","0","0","0","9.7","31.7","231","5.71","8","79.80002","0","Sri Lanka","Puttalam"
"31.4","26.4","28.5","37.7","31.6","33.7","2010-03-22T00:43","2010-03-22T12:51","21.77","0.6","0.6","0","4","11.3","27","238","4.72","8","79.80002","0","Sri Lanka","Puttalam"
"31.8","25.6","28.7","38.6","31.1","34.3","2010-03-23T00:43","2010-03-23T12:51","22.17","2","2","0","7","11.3","26.6","228","4.82","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","25.8","28.3","37.2","31.4","33.8","2010-03-24T00:42","2010-03-24T12:51","17.13","2","2","0","9","11.2","30.6","213","3.7","8","79.80002","0","Sri Lanka","Puttalam"
"31.9","26.7","28.8","39.5","32.8","34.7","2010-03-25T00:42","2010-03-25T12:51","21.49","1.3","1.3","0","8","8.3","22","247","4.61","8","79.80002","0","Sri Lanka","Puttalam"
"30.9","26.1","28.4","37.4","31.7","34","2010-03-26T00:41","2010-03-26T12:51","20.01","4.1","4.1","0","13","11.6","25.6","222","4.28","8","79.80002","0","Sri Lanka","Puttalam"
"31.8","26.4","28.6","38.6","31.8","34.3","2010-03-27T00:41","2010-03-27T12:50","19.61","4.4","4.4","0","4","14.7","35.6","204","4.25","8","79.80002","0","Sri Lanka","Puttalam"
"31.8","26.7","28.6","39.3","33","34.8","2010-03-28T00:40","2010-03-28T12:50","19.86","7.5","7.5","0","6","8.7","23.8","218","4.23","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","26.9","28.6","38.3","32.8","34.7","2010-03-29T00:40","2010-03-29T12:50","19.45","3.8","3.8","0","4","10","27","213","4.11","8","79.80002","0","Sri Lanka","Puttalam"
"31.6","26","28.3","39.2","30.5","34","2010-03-30T00:39","2010-03-30T12:50","21.56","7.1","7.1","0","9","13.7","31","201","4.59","8","79.80002","0","Sri Lanka","Puttalam"
"31.2","25.8","28.4","38.1","31","33.6","2010-03-31T00:39","2010-03-31T12:50","22.29","1.9","1.9","0","5","16.6","37.8","212","4.77","8","79.80002","0","Sri Lanka","Puttalam"
"31.7","26.7","29","38.9","31.6","34.3","2010-04-01T00:38","2010-04-01T12:50","22.67","1.4","1.4","0","6","15.9","36.7","209","5.02","8","79.80002","0","Sri Lanka","Puttalam"
"31.9","27.1","29.1","39.3","32.9","34.8","2010-04-02T00:38","2010-04-02T12:50","22.27","0.3","0.3","0","2","13.4","27.7","216","4.89","8","79.80002","0","Sri Lanka","Puttalam"
"32.1","26.6","28.7","40.3","32.9","34.9","2010-04-03T00:37","2010-04-03T12:50","23.2","1.1","1.1","0","2","11.4","28.4","215","4.94","8","79.80002","0","Sri Lanka","Puttalam"
"31.7","26","27.8","39.4","31.5","33.9","2010-04-04T00:37","2010-04-04T12:50","22.61","9.6","9.6","0","8","10.7","25.6","208","4.69","8","79.80002","0","Sri Lanka","Puttalam"
"31.4","25.9","27.9","39.9","31.7","34.1","2010-04-05T00:36","2010-04-05T12:50","21.32","10.7","10.7","0","7","8.7","25.6","199","4.44","8","79.80002","0","Sri Lanka","Puttalam"
"32.1","25.9","28.1","40.9","31.9","34.9","2010-04-06T00:36","2010-04-06T12:50","21.85","13","13","0","4","8.3","27.4","168","4.58","8","79.80002","0","Sri Lanka","Puttalam"
"32.1","25.7","28","39.3","31.3","34.1","2010-04-07T00:35","2010-04-07T12:50","19.73","9.8","9.8","0","5","7.1","25.9","82","4.18","8","79.80002","0","Sri Lanka","Puttalam"
"31.7","25.9","28.4","39.9","31.2","34.8","2010-04-08T00:35","2010-04-08T12:50","20.09","0.7","0.7","0","2","7.7","30.6","235","4.23","8","79.80002","0","Sri Lanka","Puttalam"
"32.7","26.3","28.8","40.3","32.7","35.3","2010-04-09T00:34","2010-04-09T12:50","22.85","5","5","0","4","7.9","25.2","192","4.85","8","79.80002","0","Sri Lanka","Puttalam"
"31.7","26.5","28.9","39.9","33","35.1","2010-04-10T00:34","2010-04-10T12:49","21.33","0.5","0.5","0","3","14.4","28.8","205","4.67","8","79.80002","0","Sri Lanka","Puttalam"
"31.3","26.9","28.6","39.6","32.8","34.7","2010-04-11T00:33","2010-04-11T12:49","19.23","3.8","3.8","0","3","11.2","25.6","200","4.1","8","79.80002","0","Sri Lanka","Puttalam"
"31.1","26.9","28.9","37.2","32.6","34.5","2010-04-12T00:33","2010-04-12T12:49","20.92","0.7","0.7","0","5","13.6","31.7","215","4.52","8","79.80002","0","Sri Lanka","Puttalam"
"31","26.9","28.8","38.4","32.9","34.6","2010-04-13T00:32","2010-04-13T12:49","20.15","2.3","2.3","0","10","16.3","37.4","212","4.28","8","79.80002","0","Sri Lanka","Puttalam"
"29.9","26.9","27.9","35.5","32.1","33.3","2010-04-14T00:32","2010-04-14T12:49","15.38","1.7","1.7","0","9","18.7","38.2","192","3.16","8","79.80002","0","Sri Lanka","Puttalam"
"31.3","26.1","28.9","39.1","32","34.9","2010-04-15T00:31","2010-04-15T12:49","20.57","3.7","3.7","0","6","11.8","25.2","199","4.42","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","26.3","28.2","38.1","31.9","34.2","2010-04-16T00:31","2010-04-16T12:49","19.21","6.4","6.4","0","13","9","24.1","190","4.05","8","79.80002","0","Sri Lanka","Puttalam"
"31","26.5","28","39.5","32.4","34.4","2010-04-17T00:30","2010-04-17T12:49","19.85","17.5","17.5","0","9","8.6","27.7","189","4.13","8","79.80002","0","Sri Lanka","Puttalam"
"31.5","26.2","28.4","39.7","31.6","34.6","2010-04-18T00:30","2010-04-18T12:49","21.27","4.7","4.7","0","12","10.8","24.5","207","4.5","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","26.3","28.6","37.7","32","34.2","2010-04-19T00:30","2010-04-19T12:49","20.52","0.3","0.3","0","1","14.2","31","211","4.37","8","79.80002","0","Sri Lanka","Puttalam"
"31.4","26.8","28.9","38","32.4","34.5","2010-04-20T00:29","2010-04-20T12:49","20.98","1","1","0","4","14.2","32.4","208","4.55","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","26.7","28.2","37.2","31.8","33.6","2010-04-21T00:29","2010-04-21T12:49","21.04","1.9","1.9","0","8","16.6","36.7","205","4.29","8","79.80002","0","Sri Lanka","Puttalam"
"30.7","26.5","28.5","37.6","31.6","33.9","2010-04-22T00:28","2010-04-22T12:49","19.74","1.4","1.4","0","5","15.3","35.3","203","4.18","8","79.80002","0","Sri Lanka","Puttalam"
"30.4","26.1","28.1","37.6","31","33.8","2010-04-23T00:28","2010-04-23T12:49","19.14","6.8","6.8","0","5","16.5","32.8","197","3.88","8","79.80002","0","Sri Lanka","Puttalam"
"29.7","26.3","27.1","35.9","31.4","32.6","2010-04-24T00:28","2010-04-24T12:49","10.39","19.5","19.5","0","19","13.1","28.4","202","2.23","8","79.80002","0","Sri Lanka","Puttalam"
"31.3","26.3","28.3","38.9","32.1","34.2","2010-04-25T00:27","2010-04-25T12:49","19.77","4.3","4.3","0","7","12.5","28.8","205","4.2","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","26.3","27.9","38.5","32.3","34.1","2010-04-26T00:27","2010-04-26T12:49","19.38","7","7","0","9","10.2","24.8","187","3.95","8","79.80002","0","Sri Lanka","Puttalam"
"30.4","26","28.1","38.6","32.2","34.9","2010-04-27T00:26","2010-04-27T12:49","19.5","3.8","3.8","0","7","9.4","24.1","216","3.96","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","26.3","28.4","38.9","33.1","35","2010-04-28T00:26","2010-04-28T12:49","19.96","4.3","4.3","0","7","9.9","25.2","204","4.13","8","79.80002","0","Sri Lanka","Puttalam"
"31.9","26","28","40.9","31.5","34.4","2010-04-29T00:26","2010-04-29T12:49","21.7","13.9","13.9","0","11","6.8","23.8","189","4.57","8","79.80002","0","Sri Lanka","Puttalam"
"31","25.4","27.3","39.6","31.2","33.6","2010-04-30T00:25","2010-04-30T12:49","20.34","97.4","97.4","0","21","8.9","21.2","203","4.22","8","79.80002","0","Sri Lanka","Puttalam"
"30.9","25.4","27.8","37.9","31.4","34.2","2010-05-01T00:25","2010-05-01T12:50","15.84","31.1","31.1","0","12","7.9","20.2","277","3.35","8","79.80002","0","Sri Lanka","Puttalam"
"31.5","26.2","28.5","39.4","32.4","35","2010-05-02T00:25","2010-05-02T12:50","22.45","5.6","5.6","0","10","10.6","23.4","251","4.62","8","79.80002","0","Sri Lanka","Puttalam"
"30.5","26.6","28.1","37.4","32.6","34.2","2010-05-03T00:25","2010-05-03T12:50","18.88","5.7","5.7","0","6","12.2","28.8","206","3.82","8","79.80002","0","Sri Lanka","Puttalam"
"30.9","26.8","28.3","38.2","32.2","34.1","2010-05-04T00:24","2010-05-04T12:50","19.39","1.8","1.8","0","7","14.1","32","210","3.96","8","79.80002","0","Sri Lanka","Puttalam"
"30.2","26.7","28.3","36.9","32.1","33.9","2010-05-05T00:24","2010-05-05T12:50","18.75","3.1","3.1","0","8","16.8","35.3","212","3.87","8","79.80002","0","Sri Lanka","Puttalam"
"31.2","27","28.9","38.7","32.8","34.9","2010-05-06T00:24","2010-05-06T12:50","19.23","3.2","3.2","0","6","13.7","31.3","201","4.14","8","79.80002","0","Sri Lanka","Puttalam"
"31.2","26.7","28.6","37.9","32.3","34.3","2010-05-07T00:23","2010-05-07T12:50","21.31","3.7","3.7","0","9","15.1","32.4","205","4.45","8","79.80002","0","Sri Lanka","Puttalam"
"30.8","26.2","28","38.2","31.7","33.8","2010-05-08T00:23","2010-05-08T12:50","19.36","9.8","9.8","0","12","13.1","29.2","194","3.98","8","79.80002","0","Sri Lanka","Puttalam"
"29.9","26.3","27.3","36.8","31.6","32.6","2010-05-09T00:23","2010-05-09T12:50","14.72","9.6","9.6","0","11","16.3","34.9","196","3.05","8","79.80002","0","Sri Lanka","Puttalam"
"31","26.7","28.8","37.3","32.9","34.6","2010-05-10T00:23","2010-05-10T12:50","18.26","3.1","3.1","0","7","13.6","29.5","208","3.97","8","79.80002","0","Sri Lanka","Puttalam"
"30.9","27.6","29.1","36.7","33.5","35","2010-05-11T00:23","2010-05-11T12:51","17.37","0.8","0.8","0","6","13.4","30.2","210","3.84","8","79.80002","0","Sri Lanka","Puttalam"
"30.6","26.8","28.5","37.6","32.2","34.4","2010-05-12T00:22","2010-05-12T12:51","17.24","3.3","3.3","0","7","14.2","33.1","208","3.59","8","79.80002","0","Sri Lanka","Puttalam"
"31.1","26.8","29.1","39.3","32.3","35.1","2010-05-13T00:22","2010-05-13T12:51","19.16","2.2","2.2","0","10","15.5","35.6","209","4.06","8","79.80002","0","Sri Lanka","Puttalam"
"30","26.9","28.2","37.3","31.8","33.6","2010-05-14T00:22","2010-05-14T12:51","19","3.3","3.3","0","13","18.3","37.8","203","3.84","8","79.80002","0","Sri Lanka","Puttalam"
"31.3","27.2","28.9","38.1","32.4","34.5","2010-05-15T00:22","2010-05-15T12:51","18.8","1.5","1.5","0","8","16.3","34.6","207","4.08","8","79.80002","0","Sri Lanka","Puttalam"
"30.1","27.1","28.3","36.2","31.9","33.3","2010-05-16T00:22","2010-05-16T12:51","18.77","2.6","2.6","0","12","18.1","38.5","214","3.98","8","79.80002","0","Sri Lanka","Puttalam"
"31.1","26.5","28.4","37.2","31.2","33.8","2010-05-17T00:22","2010-05-17T12:52","14.16","3.1","3.1","0","12","16.8","36","210","3.17","8","79.80002","0","Sri Lanka","Puttalam"
"29.2","26.3","27.4","33.3","30.7","31.4","2010-05-18T00:22","2010-05-18T12:52","11.8","5.1","5.1","0","8","25.4","50","216","2.64","8","79.80002","0","Sri Lanka","Puttalam"
"29.5","26.4","27.8","33.9","30.5","31.7","2010-05-19T00:21","2010-05-19T12:52","15.81","3.1","3.1","0","12","23.8","52.6","217","3.46","8","79.80002","0","Sri Lanka","Puttalam"
"28.4","26.1","27.4","32.3","30.9","31.7","2010-05-20T00:21","2010-05-20T12:52","8.87","17.7","17.7","0","21","23.6","49","208","2.13","8","79.80002","0","Sri Lanka","Puttalam"
"28.9","26.1","27","32.3","30.5","31.2","2010-05-21T00:21","2010-05-21T12:52","9.39","5.1","5.1","0","15","23.1","44.3","211","2.28","8","79.80002","0","Sri Lanka","Puttalam"
